CODIGO,MATERIAL,TECNICOS
7,ARGOLLA REDONDA,5
8,ARGOLLA TENSORA,5
2910,"ATENUADOR DE LINEA 3-DB, TIPO F",2
2911,"ATENUADOR DE LINEA 6-DB, TIPO F",2
3277,"ATENUADOR DE LINEA 8-DB, TIPO F",2
10005115,ATENUADOR FPA DE 3 DBM,2
10005116,ATENUADOR FPA DE 6 DBM,2
10,BUJE PLASTICO (CHUPO) BLANCO,20
11,BUJE PLASTICO (CHUPO) NEGRO,20
10001383,CABLE COAXIAL 60% NEGRO,155
10000680,CABLE COAXIAL 60% BLANCO,155
10000405,CABLE COAXIAL RG-11 S-M,60
10003733,CABLE F.O 1H DROP G.657A2,350
10002117,CABLE UTP CATEGORIA 5E,55
502,CANALETA PLASTICA 10X10X2,10
10000985,CANDADO ANTIFRAUDE,50
18,CHAZOS PLASTICOS 3/8 PULGADA,10
17060,CIERRE LINEAL GPON FO1H-DROP,1
20,CINTA AISLANTE 3MM,1
7140,CINTA DE ENMASCARAR,1
10003416,CONECTOR ANTI-HUMEDAD RG-6,5
10004883,CONECTOR CONTINUIDAD RG-11,2
10003415,CONECTOR DE CONTINUIDAD RG-6,40
10001459,CONECTOR OPTICO MECANICO,5
27,CONECTOR RJ-11,10
10001695,CONECTOR RJ-45,6
26118,CONTROL REM SOLUTION SERIES 4,1
26769,CONTROL REM. ANYCON KAON NUEVO,10
26770,CONTROL REMOTO ANYCON UNIVERSAL,10
26732,CONTROL REMOTO ANDROID,4
26117,CONTROL REMSOLUTION SERIES 5,1
1203,CORREA DE IDENTIFICACION ROJA,5
1202,CORREA IDENTIFICACION AZUL,10
1207,CORREA DE MARCACION NARANJA,5
33,CORREAS AMARRE PLASTICO 20 CMS,100
10000484,FILTRO P ALT_BANDA RECHAZ 5_42,5
38,GANCHOS AUTOSUSPENDIDOS,10
42,GRAPA PLASTICA BLANCA RG-6,200
43,GRAPA PLASTICA NEGRA RG-6,200
68,GRAPA UTP,200
113,HEBILLA BANDIT 1/2,10
23020,HEBILLA BANDIT 5/8,10
44,HERRAJE PIG-TAIL GALVANIZADO,5
10009836,HERRAJE TENSOR CABLE DROP GPON,10
112,ROLLO CINTA BANDIT DE 1/2,30
14,ROLLO CINTA BANDIT DE 5/8,30
51,SOPORTE DE DISTRIBUCION,10
10003441,SPLITTER 2 VIAS INT.,5
10003442,SPLITTER 3 VIAS INT.,3
10003439,SPLITTER 4 VIAS INTERIOR,1
9250,STICKER WIFI,10
57,TENSOR PLASTICO RG-6,10
56,TENSOR RG-11,5
10001450,TOMA OPTICA(ROSETA)GPON,3
87,UNION INDOOR,5
